case,mask_id,mode,prompt,dice,iou,gt_pos,pred_pos,bp_pred_pos,slices_used
s0000,1,structured,mass,0.0,0.0,9913,14777,8864,32
s0000,2,structured,lymph node,0.0,0.0,461,1144,336,8
s0001,1,structured,lesion,0.0,0.0,0,12995,8831,32
s0001,2,structured,lesion,0.0,0.0,152,2771,648,26
s0001,3,structured,calculus,0.0,0.0,4,32668,29515,31
s0002,1,structured,nodule,0.0,0.0,62,5794,2773,27
s0002,2,structured,nodule,0.0,0.0,38,2253,432,18
s0003,1,structured,lesion,0.02219189461816887,0.011220448817952719,12338,4515,2949,27
s0003,2,structured,lesion,0.0,0.0,228,1578,215,20
s0004,1,structured,lesion,0.0024117982563350445,0.0012073550766017848,52910,8455,4383,28
s0004,2,structured,lesion,0.0,0.0,45600,1494,258,17
s0004,3,structured,lesion,0.0,0.0,1386,1560,229,17
s0004,4,structured,cyst,0.0,0.0,392,7243,4204,18
s0004,5,structured,lesion,0.0,0.0,34142,660,42,8
s0006,1,structured,nodule,0.0,0.0,0,1850,1288,10
s0009,1,structured,hemorrhage,0.0,0.0,3040,24575,13438,29
s0010,1,structured,cyst,0.0,0.0,204,3275,1157,9
s0010,2,structured,tumor,0.0,0.0,85,4327,2335,29
s0012,1,structured,calcification,0.0,0.0,153,73178,84319,30
s0012,2,structured,fracture,0.02895576835385317,0.014690572585309427,4213,13331,9125,28
s0012,3,structured,lesion,0.0,0.0,120217,6801,3310,30
s0021,1,structured,lesion,0.0,0.0,0,5561,2758,28
s0021,2,structured,lesion,0.0,0.0,18,1470,214,18
s0021,3,structured,lesion,0.0,0.0,507,980,66,13
s0021,4,structured,lesion,0.0,0.0,2946,831,60,10
s0024,1,structured,lesion,0.0,0.0,6490,6874,3600,32
s0024,2,structured,lesion,0.0,0.0,168,1881,437,21
s0024,3,structured,cyst,0.0,0.0,23,4882,2333,15
s0024,4,structured,nodule,0.0,0.0,0,3927,1463,18
s0028,1,structured,lesion,0.0,0.0,1621,3236,1443,28
s0028,2,structured,thickening,0.0,0.0,664,8032,5068,23
s0029,1,structured,lesion,0.0,0.0,52,4608,2391,26
s0029,2,structured,lesion,0.0,0.0,9,990,105,14
s0029,3,structured,lesion,0.0,0.0,0,949,133,14
s0029,4,structured,lesion,0.0,0.0,7,532,35,9
s0029,5,structured,lesion,0.024874431954077972,0.012593848389440542,3604,577,69,9
s0034,1,structured,mass,0.08100190169439257,0.04221051691813231,49005,9364,6370,29
s0037,1,structured,nodule,0.0,0.0,19,757,264,6
s0038,1,structured,lesion,0.0,0.0,0,6293,4163,30
s0038,2,structured,lesion,0.0,0.0,0,1448,274,21
s0038,3,structured,lesion,0.013683171110170688,0.006888715290107237,13230,948,128,13
s0040,1,structured,lesion,0.0,0.0,256,5420,2556,31
s0043,1,structured,lesion,0.0056406124093473006,0.0028282828282828283,2146,10264,6894,27
s0044,1,structured,lesion,0.11133314302026834,0.05894800483675937,3867,6642,3281,25
s0044,2,structured,lesion,0.0,0.0,3672,1830,371,18
s0046,1,structured,emphysema,0.026373626373626374,0.013363028953229399,786,1944,831,14
s0046,2,structured,lesion,0.004630969609261939,0.0023208587177255585,28,3427,1568,27
s0046,3,structured,lesion,0.04409448818897638,0.02254428341384863,103,1167,146,16
s0046,4,structured,calcification,0.0,0.0,191,2948,1029,8
s0046,5,structured,nodule,0.0,0.0,384,2365,764,17
s0046,6,structured,lesion,0.0,0.0,1302,558,57,12
s0046,7,structured,lesion,0.0,0.0,5209,527,56,9
s0046,8,structured,lesion,0.0,0.0,69,350,43,7
s0050,1,structured,lymph node,0.0,0.0,36,4264,1636,23
s0056,1,structured,cyst,0.0,0.0,346,5835,4167,20
s0057,1,structured,lesion,0.04408122833085686,0.022537351228159027,2836,5240,2140,29
s0057,2,structured,lesion,0.003969829297340214,0.001988862370723946,754,1765,377,20
s0057,3,structured,lesion,0.011701608971233545,0.005885237861696911,1049,1002,142,14
s0057,4,structured,cyst,0.0,0.0,1840,791,402,5
s0057,5,structured,lesion,0.0,0.0,1391,1215,211,15
s0058,1,structured,lesion,0.0007950178879024779,0.00039766702014846237,914,6633,4242,32
s0058,2,structured,lesion,0.0,0.0,747,1307,182,25
s0058,3,structured,calcification,0.0,0.0,225,5719,3147,23
s0058,4,structured,lesion,0.0005343307507347048,0.0002672367717797969,13721,1251,203,18
s0058,5,structured,lesion,0.0,0.0,8099,540,131,10
s0059,1,structured,lesion,0.001050236303168213,0.0005253940455341507,726,4987,2674,24
s0059,2,structured,lesion,0.014783526927138331,0.007446808510638298,825,1069,239,15
s0059,3,structured,lesion,0.0,0.0,202,821,116,12
s0059,4,structured,cyst,0.0,0.0,9211,10628,4892,15
s0059,5,structured,atelectasis,0.0023043888132397612,0.001153523489932886,1696,7851,5502,25
s0061,1,structured,lesion,0.0012170385395537525,0.0006088897909478384,182,4748,2304,25
s0061,2,structured,lesion,0.005924170616113744,0.0029708853238265003,488,1200,201,13
s0061,3,structured,lesion,0.015209125475285171,0.007662835249042145,75,714,86,10
s0061,4,structured,thickening,0.0,0.0,20,2744,1367,12
s0061,5,structured,thickening,0.0,0.0,128,716,82,8
s0063,1,structured,lesion,0.005093632958801498,0.0025533193151096424,1724,4951,1814,21
s0063,2,structured,lesion,0.0,0.0,668,1070,148,13
s0063,3,structured,tumor,0.0,0.0,3117,11148,7056,28
s0067,1,structured,lesion,0.0,0.0,2031,13860,7886,30
s0067,2,structured,lesion,0.0,0.0,739,1912,514,18
s0067,3,structured,lesion,0.0,0.0,208,1355,259,11
s0067,4,structured,effusion,0.0,0.0,15232,3240,694,22
s0067,5,structured,effusion,0.0,0.0,706,1001,83,11
