case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0000,1,0.000532566437663,0.0,0.7007
s0000,2,0.0,0.0,0.0622
s0001,1,0.0,0.0,1.0
s0001,2,0.0,0.0,0.5448
s0001,3,0.0,0.0,0.087
s0002,1,0.0,0.0,0.4485
s0002,2,0.0,0.0,0.2992
s0003,1,0.0160921044024334,0.0221918946181688,0.8268
s0003,2,0.0,0.0,0.4292
s0004,1,0.0012217897474386,0.002411798256335,0.2323
s0004,2,0.0,0.0,0.6802
s0004,3,0.0,0.0,0.339
s0004,4,0.0,0.0,0.7802
s0004,5,0.0,0.0,0.8342
s0006,1,0.0,0.0,1.0
s0009,1,0.0,0.0,0.455
s0010,1,0.0,0.0,0.5426
s0010,2,0.0,0.0,0.3711
s0012,1,0.0,0.0,0.212
s0012,2,0.0428849902534113,0.0289557683538531,0.6727
s0012,3,0.0,0.0,0.4022
s0021,1,0.0,0.0,1.0
s0021,2,0.0,0.0,0.1525
s0021,3,0.0,0.0,0.584
s0021,4,0.0,0.0,0.6571
s0024,1,0.0,0.0,0.56
s0024,2,0.0,0.0,0.3191
s0024,3,0.0,0.0,0.3151
s0024,4,0.0,0.0,1.0
s0028,1,0.0,0.0,0.4551
s0028,2,0.0013956734124214,0.0,0.3094
s0029,1,0.0,0.0,0.2618
s0029,2,0.0,0.0,0.1607
s0029,3,0.0,0.0,1.0
s0029,4,0.0,0.0,0.1167
s0029,5,0.0103457664034848,0.0248744319540779,0.4591
s0034,1,0.0597381489841986,0.0810019016943925,0.6933
s0037,1,0.0,0.0,0.3178
s0038,1,0.0,0.0,1.0
s0038,2,0.0,0.0,1.0
s0038,3,0.0037430753106752,0.0136831711101706,0.7474
s0040,1,0.0,0.0,0.512
s0043,1,0.0008849557522123,0.0056406124093473,0.5395
s0044,1,0.1197537772803581,0.1113331430202683,0.5705
s0044,2,0.0,0.0,0.5745
s0046,1,0.0037105751391465,0.0263736263736263,0.0875
s0046,2,0.0087719298245614,0.0046309696092619,0.2341
s0046,3,0.0080321285140562,0.0440944881889763,0.2674
s0046,4,0.0,0.0,0.1417
s0046,5,0.0,0.0,0.4843
s0046,6,0.0,0.0,0.6884
s0046,7,0.0,0.0,0.5425
s0046,8,0.0,0.0,0.3295
s0050,1,0.0,0.0,0.1989
s0056,1,0.0,0.0,0.5633
s0057,1,0.0341639871382636,0.0440812283308568,0.2589
s0057,2,0.0,0.0039698292973402,0.1734
s0057,3,0.0,0.0117016089712335,0.0725
s0057,4,0.0,0.0,0.2989
s0057,5,0.0,0.0,0.1696
s0058,1,0.0,0.0007950178879024,0.1652
s0058,2,0.0,0.0,0.2901
